"","index","m0SSRes","m0int","m1SSRes","m1int","m1Pre","m2SSRes","m2int","m2Pre","m2Group","m3SSRes","m3int","m4SSRes","m4int","m4Group","ANCr2","ANC_MS_REG","ANC_MS_RES","ANC_Fobs","ANC_Sig","RMr2","RM_MS_REG","RM_MS_RES","RM_Fobs","RM_Sig"
"6079",6079,47.6626060848435,0.379666371032734,26.3441013065567,0.2889196037347,0.729881463759023,25.6764345857231,0.290651612666188,0.715950816400463,0.129945437805403,29.2639533675063,0.255335542255865,28.8680961118204,0.255335542255865,0.0994808091651233,0.0253440689839526,0.0253440689839526,0.0263420521896229,0.96211444732983,0,0.0135271284338996,0.0135271284338996,0.0259598124096342,0.521079591040475,0
"6080",6080,32.6439618072589,0.302835280032333,16.9915410245198,0.194419113688289,0.669026245970273,16.0438531855436,0.191358061956165,0.687915716222936,0.15493269065282,20.8222778379045,0.14078458770589,19.405547276046,0.14078458770589,0.188197407119398,0.0557740959227084,0.0557740959227084,0.025519619029116,2.18553795254836,0,0.0680391728939271,0.0680391728939271,0.024525284923844,2.77424597125793,0
"6081",6081,56.5981503737322,0.106193866377176,38.280472864105,0.0987662149934681,0.639824780367946,33.6425477331143,0.0981529124976231,0.692655226283035,0.345065646671046,44.0851217573244,0.0945849828021501,37.758404510582,0.0945849828021501,0.397703320540021,0.121156422164774,0.121156422164774,0.0237525291306818,5.10077985793406,1,0.14351139328976,0.14351139328976,0.0225391738607958,6.36719846859077,1
"6082",6082,55.4695511155683,0.136540468989717,36.4889712032662,0.10292507630733,0.803425451745771,31.6768967534856,0.107542429823332,0.693068289789816,0.359520056612294,37.6252185407169,0.0947003796455927,34.255163956201,0.0947003796455926,0.290260856149943,0.131877504108691,0.131877504108691,0.0234627701592246,5.62071329232376,1,0.0895690368115456,0.0895690368115456,0.0239587095575909,3.73847500410001,0
"6083",6083,44.4601400295685,0.34045048417781,23.716306814745,0.388111022014734,0.723600257272203,23.7111713002933,0.388080101931751,0.723130816913015,0.0113404642976206,26.7429892448028,0.406316322889079,26.7429892398723,0.406316322889079,-1.11023549880399e-05,0.000216539383293882,0.000216539383293882,0.0270211746112623,0.00801369246189725,0,1.84365761263368e-10,1.84365761263368e-10,0.0263157894688325,7.00589892929961e-09,0
"6084",6084,64.0254455155328,0.450027800057998,43.2710678810732,0.426591507960636,0.670715046488289,39.2165950367536,0.424100606911434,0.742001272401178,0.327449230505206,48.2734560542177,0.415085551155026,42.1196496148472,0.415085551155026,0.392231004618785,0.0936993941416692,0.0936993941416692,0.0244946109691441,3.82530648311592,0,0.127478058178782,0.127478058178782,0.0229611037321373,5.55191334292693,1
"6085",6085,26.0469094716742,0.263924535643822,19.0619281827656,0.181328088957852,0.382912109597254,18.3969518051946,0.177465698149326,0.400817918768497,0.130408057037305,37.2029227313093,0.0482185169105822,35.1164045007001,0.0482185169105822,0.228392109682511,0.0348850531381343,0.0348850531381343,0.0260841877530234,1.33740231700682,0,0.0560847932749422,0.0560847932749422,0.0248398738611857,2.25785338477822,0
"6086",6086,36.5808371310073,0.500518935572891,30.1354889456391,0.416595415842939,0.411659647718151,27.9776705890695,0.40227718800603,0.481893077467719,0.242148148331875,43.3006767779894,0.296652658673651,37.3706022915036,0.296652658673651,0.385034884344452,0.0716038940155281,0.0716038940155281,0.025091786648229,2.85367857695307,0,0.136951080854703,0.136951080854703,0.0227118136617183,6.02994912227287,1
"6087",6087,40.1737711671189,0.280815980344908,22.4440669249263,0.34388520117198,0.524594762481787,20.0831945391916,0.348432680822176,0.562419615487763,0.247641187619603,37.0047421278647,0.401040628659541,31.9555269109779,0.401040628659541,0.355289150442523,0.105189152822954,0.105189152822954,0.024184076950731,4.34952109345545,1,0.136447788216979,0.136447788216979,0.0227250582048164,6.00428773326793,1
"6088",6088,38.4567609475617,0.241998222085013,28.6520545389124,0.30894912799239,0.514305489454062,28.3036330587534,0.309956347517078,0.522042778794836,0.0936269919390565,37.3962259828584,0.372175533586094,36.7178386278453,0.372175533586094,0.130229351051626,0.0121604361629921,0.0121604361629921,0.0266983665901894,0.455474911617273,0,0.0181405298845949,0.0181405298845949,0.0258384071083001,0.702076169345887,0
"6089",6089,40.015978641094,0.335610529220076,33.5136288428324,0.32197661382453,0.485240710070357,32.2060233425231,0.323017887528321,0.448181041094412,0.183407566153715,40.8311545371287,0.307513308371542,40.3780797692354,0.307513308371542,0.106427765161788,0.0390171266275435,0.0390171266275435,0.0259725100911475,1.50224704853776,0,0.0110963006809253,0.0110963006809253,0.0260237815610283,0.426390786246932,0
"6090",6090,43.0130054524969,0.0778382001883331,34.6357848439356,0.113482556528391,0.515427848642046,28.8991525710291,0.114054751641025,0.523701957819232,0.378774043608516,42.0400352100371,0.14699309050706,36.0500143806043,0.14699309050706,0.386976124245179,0.165627321533352,0.165627321533352,0.022550612931531,7.34469267138038,1,0.14248372532292,0.14248372532292,0.02256621775466,6.31402775919312,1
"6091",6091,41.7791651105115,0.143356911587694,24.8188697267201,0.16333106933521,0.716496262607933,24.6100752239932,0.163005642775478,0.704822833532798,0.0730233646199915,27.4742280221882,0.17123445790568,27.4278511961481,0.17123445790568,0.0340502665334887,0.00841273212785075,0.00841273212785075,0.0267996558884365,0.313911945842584,0,0.0016880119799041,0.0016880119799041,0.026271368105792,0.0642529149264954,0
"6092",6092,40.9299932384485,0.212194281876942,30.3380689430047,0.214759552618386,0.634317826191572,28.7439897952812,0.214793454325772,0.64270074538441,0.199745404325092,33.8582792884049,0.216238422898244,32.1007595453934,0.216238422898244,0.209613915509652,0.0525438567206827,0.0525438567206827,0.0256069227913329,2.05193951451547,0,0.0519081235062464,0.0519081235062464,0.0249497862235198,2.08050373823698,0
"6093",6093,58.4095287822301,0.0820738246437993,42.0390356619431,0.0559235058063184,0.610557100773389,38.5607877779117,0.0571979581571459,0.580801213771363,0.29652699946731,48.6993813107092,0.0392435655175746,46.1924874959189,0.0392435655175745,0.250344453443168,0.082738526925348,0.082738526925348,0.0247908506236392,3.33746220254552,0,0.0514769129980519,0.0514769129980519,0.0249611338684723,2.06228263785208,0
"6094",6094,32.3785461303323,0.130054479916969,25.2968136328313,0.221620261192863,0.482060958082624,22.2702155104915,0.228670877261207,0.519179919878382,0.276974110734214,33.4719103035215,0.320000958138505,29.2191338055053,0.320000958138505,0.326066576714642,0.119643452581388,0.119643452581388,0.023793420200503,5.02842599227742,1,0.127055087667607,0.127055087667607,0.022972234535063,5.53081100898917,1
"6095",6095,54.8462665219102,0.0430576642564186,36.9988911037084,0.0221322214339022,0.614902347914192,33.6218931812743,0.0215699412424421,0.631425171963699,0.291113564305321,43.9989839113059,0.00902715047890979,40.0098109723468,0.00902715047890977,0.315799498850102,0.0912729495856597,0.0912729495856597,0.0245601905517389,3.7162964755254,0,0.0906651150626683,0.0906651150626683,0.0239298653930877,3.78878500038941,0
"6096",6096,42.7604226659969,0.197420919107308,32.8386180882445,0.189768196151837,0.499170466009046,31.2321413192337,0.189431391815831,0.521139479958234,0.201599542885645,42.8264854827575,0.182090038222757,40.2550454494403,0.182090038222757,0.253546841496657,0.0489203523940566,0.0489203523940566,0.0257048553407012,1.90315610594376,0,0.0600432186842073,0.0600432186842073,0.0247357047714682,2.42739065811721,0
